Quarter,OffenseTeam,Down,ToGo,YardLine,FieldSide,Formation,PlayType,Yards,Runner,Target,IsIncomplete,IsDrop,IsTouchdown,PassType,RushDirection,IsSack,IsInterception,IsFumble,IsTurnover,IsPenalty,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
1,ravens,1,10,25,ravens,shotgun,run,0,Jackson,,,,,,right,,,,,,,,,,
1,ravens,2,10,25,ravens,shotgun,pass,6,,Dobbins,,,,short left,,,,,,,,,,,
1,ravens,3,4,31,ravens,shotgun,pass,0,,Andrews,1,,,,,,,,,,,,,,
1,pats,1,10,11,pats,shotgun,pass,31,,Parker,,,,middle,,,,,,,,,,,
1,pats,1,10,42,pats,shotgun,run,3,Harris,,,,,,middle,,,,,,,,,,
1,pats,2,7,45,pats,shotgun,penalty,-5,,,,,,,,,,,,1,1,pats,1,IF,5
1,pats,2,12,40,pats,shotgun,pass,4,,Smith,,,,short left,,,,,,,,,,,
1,pats,3,8,44,pats,shotgun,pass,-7,,,,,,,,1,,,,,,,,,
1,ravens,1,10,31,ravens,shotgun,run,5,Jackson,,,,,,middle,,,,,,,,,,
1,ravens,2,5,36,ravens,shotgun,pass,0,,Andrews,,,,middle left,,,,,,,,,,,
1,ravens,3,5,36,ravens,shotgun,run,7,Jackson,,,,,,right,,,,,,,,,,
1,ravens,1,10,43,ravens,shotgun,run,3,Dobbins,,,,,,middle,,,,,,,,,,
1,ravens,2,7,46,ravens,shotgun,pass,18,,Andrews,,,,short left,,,,,,,,,,,
1,ravens,1,10,36,pats,shotgun,pass,11,,Andrews,,,,middle,,,,,,,,,,,
1,ravens,1,10,25,pats,shotgun,run,5,Dobbins,,,,,,,,,,,,,,,,
1,ravens,2,5,20,pats,shotgun,pass,6,,Andrews,,,,short right,,,,,,,,,,,
1,ravens,1,10,14,pats,shotgun,pass,-3,,,,,,,,1,,,,,,,,,
1,ravens,2,13,17,pats,undercenter,pass,12,,Ricard,,,,short middle,,,,,,,,,,,
1,ravens,3,1,5,pats,shotgun,pass,5,,Andrews,,,1,short middle,,,,,,,,,,,
1,pats,1,10,22,pats,shotgun,run,8,Stevenson,,,,,,left,,,,,,,,,,
1,pats,3,2,30,pats,shotgun,run,10,Stevenson,,,,,,middle,,,,,,,,,,
1,pats,1,10,40,pats,undercenter,pass,40,,Parker,,,,deep right,,,,,,,,,,,
1,pats,1,10,20,ravens,undercenter,run,4,,Stevenson,,,,,middle,,,,,,,,,,
1,pats,2,6,16,ravens,undercenter,penalty,-10,,,,,,,,,,,,1,1,pats,1,H,10
1,pats,2,16,26,ravens,shotgun,run,4,Jones,,,,,,left,,,,,,,,,,
1,pats,3,12,22,ravens,shotgun,pass,5,,Stevenson,,,,short middle,,,,,,,,,,,
2,ravens,1,10,25,ravens,shotgun,pass,8,,Likley,,,,short middle,,,,,,,,,,,
2,ravens,2,2,33,ravens,shotgun,pass,-8,,,,,,,,1,,,,,,,,,
2,ravens,3,10,25,ravens,shotgun,penalty,-5,,,,,,,,,,,,1,1,ravens,1,FS,5
2,ravens,3,15,20,ravens,shotgun,pass,0,,Andrews,1,,,deep right,,,,,,,,,,,
2,pats,1,10,41,pats,undercenter,run,5,Harris,,,,,,right,,,,,,,,,,
2,pats,2,5,36,pats,shotgun,run,1,Jones,,,,,,left,,,,,,,,,,
2,pats,3,4,37,pats,shotgun,pass,23,,Agholor,,,,middle right,,,,,,,,,,,
2,pats,1,10,40,ravens,undercenter,run,1,Harris,,,,,,middle,,,,,,,,,,
2,pats,2,9,39,ravens,undercenter,pass,0,,Parker,1,,,deep left,,,,,,,,,,,
2,pats,3,9,39,ravens,shotgun,run,6,Harris,,,,,,middle,,,,,,,,,,
2,pats,4,3,33,ravens,shotgun,pass,0,,Bourne,1,,,screen left,,,,,,,,,,,
2,ravens,1,10,33,ravens,shotgun,run,-1,Jackson,,,,,,left,,,,,,,,,,
2,ravens,2,11,32,ravens,shotgun,pass,0,,Andrews,1,,,middle,,,,,,,,,,,
2,ravens,3,11,32,ravens,shotgun,penalty,-5,,,,,,,,,,,,1,1,ravens,1,FS,5
2,ravens,3,16,27,ravens,shotgun,pass,0,,Duvernay,1,,,,,,1,,1,,,,,,
2,pats,1,10,32,ravens,shotgun,pass,5,,Smith,,,,screen left,,,,,,,,,,,
2,pats,2,5,27,ravens,shotgun,run,6,Stevenson,,,,,,middle,,,,,,,,,,
2,pats,1,10,21,ravens,shotgun,pass,0,,Parker,1,,,deep right,,,,,,,,,,,
2,pats,2,10,21,ravens,shotgun,run,16,Stevenson,,,,,,right,,,,,,,,,,
2,pats,1,5,5,ravens,shotgun,run,2,Stevenson,,,,,,middle,,,,,,,,,,
2,pats,2,3,3,ravens,shotgun,run,3,Jones,,,,1,,middle,,,,,,,,,,
2,ravens,1,10,25,ravens,shotgun,run,-4,Duvernay,,,,,,right,,,,,,,,,,
2,ravens,2,14,21,ravens,shotgun,run,17,Jackson,,,,,,left,,,,,,,,,,
2,ravens,1,10,38,ravens,shotgun,run,3,Dobbins,,,,,,middle,,,,,,,,,,
2,ravens,2,7,41,ravens,undercenter,pass,12,,Dobbins,,,,short right,,,,,,,,,,,
2,ravens,1,10,48,pats,shotgun,run,11,Hill,,,,,,middle,,,,,,,,,,
2,ravens,1,10,37,pats,undercenter,pass,7,,Oliver,,,,short right,,,,,,,,,,,
2,ravens,2,7,30,pats,shotgun,run,11,Jackson,,,,,,middle,,,,,,,,,,
2,ravens,1,10,19,pats,shotgun,run,3,Dobbins,,,,,,left,,,,,,,,,,
2,ravens,2,7,16,pats,shotgun,pass,16,,Andrews,,,1,middle,,,,,,,,,,,
2,pats,1,10,25,pats,shotgun,pass,10,,Stevenson,,,,short left,,,,,,,,,,,
2,pats,1,10,35,pats,shotgun,pass,0,,Agholor,1,,,deep right,,,,,,,,,,,
2,pats,2,10,35,pats,shotgun,pass,23,,Bourne,,,,deep middle,,,,,,,,,,,
2,pats,1,10,42,ravens,shotgun,pass,10,,Bourne,,,,short right,,,,,,,,,,,
3,pats,1,10,25,pats,shotgun,run,2,Harris,,,,,,middle,,,,,,,,,,
3,pats,2,8,27,pats,shotgun,pass,36,,,,,,,,,,,,,,,,,
3,pats,1,10,37,ravens,undercenter,run,10,Harris,,,,,,middle,,,,,,,,,,
3,pats,1,10,27,ravens,undercenter,run,0,Harris,,,,,,middle,,,,,,,,,,
3,pats,2,10,27,ravens,shotgun,pass,25,,Parker,,,,deep left,,,,,,,,,,,
